data,par,preco,adx,sinal,confianca
22:49:33,1764294573.956115,TRADOORUSDT,1.988,21.0,NEUTRO,43.3
22:49:35,1764294575.44308,YALAUSDT,0.04421,17.6,NEUTRO,48.5
22:49:36,1764294576.931743,MUSDT,1.2389,10.1,NEUTRO,45.4
22:49:39,1764294579.842503,SQDUSDT,0.08549,34.7,NEUTRO,43.8
22:49:41,1764294581.292988,TRADOORUSDT,1.988,21.0,NEUTRO,43.3
22:49:42,1764294582.760887,YALAUSDT,0.04426,17.6,NEUTRO,49.5
22:49:44,1764294584.254744,MUSDT,1.2385,10.1,NEUTRO,44.8
22:49:47,1764294587.168254,SQDUSDT,0.08574,34.7,NEUTRO,43.1
22:49:48,1764294588.627286,TRADOORUSDT,1.987,21.0,NEUTRO,43.2
22:49:50,1764294590.19914,YALAUSDT,0.04426,17.6,NEUTRO,49.2
22:49:51,1764294591.664007,MUSDT,1.238,10.1,NEUTRO,44.7
22:49:54,1764294594.767152,SQDUSDT,0.08573,34.7,NEUTRO,43.7
22:49:56,1764294596.343353,TRADOORUSDT,1.985,21.0,NEUTRO,43.0
22:49:57,1764294597.798842,YALAUSDT,0.0444,17.6,NEUTRO,51.2
22:49:59,1764294599.339544,MUSDT,1.2357,10.1,NEUTRO,45.1
22:50:02,1764294602.342523,SQDUSDT,0.08542,34.7,NEUTRO,44.3
22:50:03,1764294603.954098,TRADOORUSDT,1.988,21.0,NEUTRO,43.3
22:50:05,1764294605.403664,YALAUSDT,0.04437,17.6,NEUTRO,50.3
22:50:06,1764294606.87001,MUSDT,1.2374,10.1,NEUTRO,47.2
